ID,CELL_ID,AXIS_ORDINATE_ID
169,3152770_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_007
170,2739769_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
171,2740044_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_200
172,3151886_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_2_170
173,3152796_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_015
174,2741030_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_220
175,2741053_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_3_999
176,2740004_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_080
177,3170276_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_050
178,3152441_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_060
179,2739943_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_010
180,3152396_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_190
181,3152832_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_2_270
182,3153122_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_022
183,3153239_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_016
184,3151895_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_2_260
185,2741293_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_199
186,2739705_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_1_020
187,3153311_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
188,2760047_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_020
189,2740327_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_070
190,2760161_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_060
191,2760077_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_3_010
192,2740273_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_020
193,3152623_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_050
194,3152821_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_090
195,2760149_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_050
196,2740387_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_130
197,3152683_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_110
198,2739961_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_060
199,3152907_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_039
200,3170257_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_020
201,3152427_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_006
202,2739775_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
203,3170367_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_1_009
204,2786774_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_009
205,2741193_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_270
206,2786725_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_009
207,2740399_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_240
208,2739807_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_060
