ID,CELL_ID,AXIS_ORDINATE_ID
59261,2739864_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_021
59262,3153291_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_2_285
59263,3152696_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_110
59264,3151961_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_120
59265,3170215_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_2_385
59266,2739760_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
59267,2740026_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_290
59268,3152432_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_006
59269,3152912_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_039
59270,2739868_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_060
59271,3152471_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_007
59272,3152636_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_050
59273,2741177_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_009
59274,2760136_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_040
59275,2760174_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_060
59276,2760052_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_020
59277,3153304_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
59278,3153175_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_035
59279,2741046_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_3_999
59280,3153007_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_050
59281,2739995_REF,FINREP_REF_F_03_00_REF_FINREP 2_8_2_231
59282,2740273_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_070
59283,3151436_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_010
59284,2741014_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_031
59285,3153198_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_015
59286,3152573_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_020
59287,3151414_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_010
59288,3152490_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_007
59289,2741196_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_009
59290,2786819_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_050
59291,2740287_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_020
59292,2739935_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_120
59293,2740216_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_300
59294,3151847_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_2_030
59295,2741151_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_130
59296,3152949_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_100
59297,3152655_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_160
