MAINTENANCE_AGENCY_ID,CUBE_ID,NAME,CODE,FRAMEWORK_ID,CUBE_STRUCTURE_ID,CUBE_TYPE,IS_ALLOWED,VALID_FROM,VALID_TO,VERSION,DESCRIPTION,PUBLISHED,DATASET_URL,FILTERS,DI_EXPORT
,F_01_02_REF_FINREP_3_0,F_01_02_REF_FINREP_3_0,,,F_01_02_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_04_01_REF_FINREP_3_0,F_04_01_REF_FINREP_3_0,,,F_04_01_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_04_02_1_REF_FINREP_3_0,F_04_02_1_REF_FINREP_3_0,,,F_04_02_1_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_04_02_2_REF_FINREP_3_0,F_04_02_2_REF_FINREP_3_0,,,F_04_02_2_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_04_03_1_REF_FINREP_3_0,F_04_03_1_REF_FINREP_3_0,,,F_04_03_1_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_04_04_1_REF_FINREP_3_0,F_04_04_1_REF_FINREP_3_0,,,F_04_04_1_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_04_05_REF_FINREP_3_0,F_04_05_REF_FINREP_3_0,,,F_04_05_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_04_06_REF_FINREP_3_0,F_04_06_REF_FINREP_3_0,,,F_04_06_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_04_07_REF_FINREP_3_0,F_04_07_REF_FINREP_3_0,,,F_04_07_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_04_08_REF_FINREP_3_0,F_04_08_REF_FINREP_3_0,,,F_04_08_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_04_09_REF_FINREP_3_0,F_04_09_REF_FINREP_3_0,,,F_04_09_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_04_10_REF_FINREP_3_0,F_04_10_REF_FINREP_3_0,,,F_04_10_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_05_01_REF_FINREP_3_0,F_05_01_REF_FINREP_3_0,,,F_05_01_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_06_01_REF_FINREP_3_0,F_06_01_REF_FINREP_3_0,,,F_06_01_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_07_01_REF_FINREP_3_0,F_07_01_REF_FINREP_3_0,,,F_07_01_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_07_02_REF_FINREP_3_0,F_07_02_REF_FINREP_3_0,,,F_07_02_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_08_01_a_REF_FINREP_3_0,F_08_01_a_REF_FINREP_3_0,,,F_08_01_a_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_08_02_REF_FINREP_3_0,F_08_02_REF_FINREP_3_0,,,F_08_02_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_09_01_1_REF_FINREP_3_0,F_09_01_1_REF_FINREP_3_0,,,F_09_01_1_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_09_01_REF_FINREP_3_0,F_09_01_REF_FINREP_3_0,,,F_09_01_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_09_02_REF_FINREP_3_0,F_09_02_REF_FINREP_3_0,,,F_09_02_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_13_01_REF_FINREP_3_0,F_13_01_REF_FINREP_3_0,,,F_13_01_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_14_00_REF_FINREP_3_0,F_14_00_REF_FINREP_3_0,,,F_14_00_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_15_00_a_REF_FINREP_3_0,F_15_00_a_REF_FINREP_3_0,,,F_15_00_a_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0,,,F_18_00_a_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0,,,F_18_00_b_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_18_00_c_REF_FINREP_3_0,F_18_00_c_REF_FINREP_3_0,,,F_18_00_c_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
