ID,MEMBER_ID,SUBDOMAIN_ID,VALID_FROM,VALID_TO,ORDER
5987,CRRNCY_PKR,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5988,CRRNCY_XPF,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5989,CRRNCY_MRO,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5990,CRRNCY_RWF,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5991,CRRNCY_MAD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5992,CRRNCY_HRK,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5993,CRRNCY_XCD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5994,CRRNCY_SAR,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5995,CRRNCY_ANG,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5996,CRRNCY_UZS,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5997,CRRNCY_XDR,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5998,CRRNCY_STN,ISO4217,2018-08-29 00:00:00,9999-12-31 00:00:00,0
5999,CRRNCY_MYR,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
6000,CRRNCY_IRR,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
6001,CRRNCY_KRW,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
6002,CRRNCY_SEK,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
6003,CRRNCY_DKK,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
6004,CRRNCY_TZS,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
6005,CRRNCY_GNF,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
6006,CRRNCY_MDL,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
6007,CRRNCY_IQD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
6008,CRRNCY_CHE,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
6009,CRRNCY_CRC,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
6010,CRRNCY_SBD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
6011,CRRNCY_GEL,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
6012,CRRNCY_PEN,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
