CUBE_STRUCTURE_ITEM_LINK_ID,CUBE_LINK_ID,FOREIGN_CUBE_VARIABLE_CODE,PRIMARY_CUBE_VARIABLE_CODE
F_01_02_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN:Derivatives ETC:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_02_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN:Derivatives ETC,2065,750
F_01_02_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_02_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC,2064,784
F_01_02_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC:CRRYNG_AMNT:CRRYNG_AMNT,F_01_02_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC,2063,788
F_01_02_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC:TYP_HDG:TYP_HDG,F_01_02_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC,2069,802
F_01_02_REF_FINREP_3_0:INSTRMNT:Deposits:INSTRMNT_TYP_PRDCT:INSTRMNT_TYP_PRDCT,F_01_02_REF_FINREP_3_0:INSTRMNT:Deposits,2067,962
F_01_02_REF_FINREP_3_0:INSTRMNT_RL:Deposits:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_02_REF_FINREP_3_0:INSTRMNT_RL:Deposits,2064,1067
F_01_02_REF_FINREP_3_0:INSTRMNT_RL:Deposits:CRRYNG_AMNT:CRRYNG_AMNT,F_01_02_REF_FINREP_3_0:INSTRMNT_RL:Deposits,2063,1080
F_01_02_REF_FINREP_3_0:INSTRMNT_RL:Deposits:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_02_REF_FINREP_3_0:INSTRMNT_RL:Deposits,2065,1117
F_01_02_REF_FINREP_3_0:INSTRMNT_RL:Deposits:SBJCT_IMPRMNT_INDCTR:SBJCT_IMPRMNT_INDCTR,F_01_02_REF_FINREP_3_0:INSTRMNT_RL:Deposits,2066,1143
F_01_02_REF_FINREP_3_0:NN_FNNCL_LBLTY:Other financial liabilities:CRRYNG_AMNT:CRRYNG_AMNT,F_01_02_REF_FINREP_3_0:NN_FNNCL_LBLTY:Other financial liabilities,2063,1413
F_01_02_REF_FINREP_3_0:NN_FNNCL_LBLTY:Other financial liabilities:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_02_REF_FINREP_3_0:NN_FNNCL_LBLTY:Other financial liabilities,2065,1414
F_01_02_REF_FINREP_3_0:SCRTY_EXCHNG_TRDBL_DRVTV:Derivatives ETC:NGTBL_SCRTY_INDCTR:NGTBL_SCRTY_INDCTR,F_01_02_REF_FINREP_3_0:SCRTY_EXCHNG_TRDBL_DRVTV:Derivatives ETC,2068,1763
F_04_01_REF_FINREP_3_0:ENTTY_RL:Derivatives ETC:PRTY_RL_TYP:PRTY_RL_TYP,F_04_01_REF_FINREP_3_0:ENTTY_RL:Derivatives ETC,2240,707
F_04_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN:Derivatives ETC:HLD_SL_INDCTR:HLD_SL_INDCTR,F_04_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN:Derivatives ETC,2236,750
F_04_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_04_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC,2235,784
F_04_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC:CRRYNG_AMNT:CRRYNG_AMNT,F_04_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC,2234,788
F_04_01_REF_FINREP_3_0:INSTRMNT:Advances that are not loans:INSTRMNT_TYP_PRDCT:INSTRMNT_TYP_PRDCT,F_04_01_REF_FINREP_3_0:INSTRMNT:Advances that are not loans,2242,962
F_04_01_REF_FINREP_3_0:INSTRMNT:Credit card debt:INSTRMNT_TYP_PRDCT:INSTRMNT_TYP_PRDCT,F_04_01_REF_FINREP_3_0:INSTRMNT:Credit card debt,2242,962
F_04_01_REF_FINREP_3_0:INSTRMNT:Equity instruments instrument:INSTRMNT_TYP_PRDCT:INSTRMNT_TYP_PRDCT,F_04_01_REF_FINREP_3_0:INSTRMNT:Equity instruments instrument,2242,962
F_04_01_REF_FINREP_3_0:INSTRMNT:Finance leases:INSTRMNT_TYP_PRDCT:INSTRMNT_TYP_PRDCT,F_04_01_REF_FINREP_3_0:INSTRMNT:Finance leases,2242,962
F_04_01_REF_FINREP_3_0:INSTRMNT:On demand and short notice:INSTRMNT_TYP_PRDCT:INSTRMNT_TYP_PRDCT,F_04_01_REF_FINREP_3_0:INSTRMNT:On demand and short notice,2242,962
